SKU,Short Description,Long Description,Model,Category Group,Category,Manufacturer,Manufacturer SKU,Image URL,Document Name,Document URL,Unit Of Measure,Buy Cost,Trade Price,MSRP GBP,MSRP USD,MSRP EUR,Discontinued
0158X34B,Adam Hall Accessories 0158X34B - Gaze Type 203 | B1 160 g/m² with eyelets | 3 x 4 m,,,,,Adam Hall,4049521163319.0,,,,,,,154.0,,,False
0158X35B,Adam Hall Accessories 0158X35B - Gaze Type 203 | B1 160 g/m² with eyelets | 3 x 5 m,,,,,Adam Hall,4049521163326.0,,,,,,,182.0,,,False
0158X36B,Adam Hall Accessories 0158X36B - Gaze Type 203 | B1 160 g/m² with eyelets | 3 x 6 m,,,,,Adam Hall,4049521163333.0,,,,,,,210.0,,,False
0158X45B,Adam Hall Accessories 0158X45B - Gaze Type 203 | B1 160 g/m² with eyelets | 4 x 5 m,,,,,Adam Hall,4049521163340.0,,,,,,,236.61,,,False
0158X46B,Adam Hall Accessories 0158X46B - Gaze Type 203 | B1 160 g/m² with eyelets | 4 x 6 m,,,,,Adam Hall,4049521163357.0,,,,,,,270.0,,,False
0158X56B,Adam Hall Accessories 0158X56B - Gaze Type 203 | B1 160 g/m² with eyelets | 5 x 6 m,,,,,Adam Hall,4049521163364.0,,,,,,,322.0,,,False
0159ABSTAND,"Adam Hall Accessories 0159ABSTAND - Fence Panel ""Bitte Abstand halten"" Gauze type 800 1.76 x 3.41 m, with eyelets, white",,,,,Adam Hall,4049521542688.0,,,,,,,215.0,,,False
0159DISTANCE,"Adam Hall Accessories 0159DISTANCE - Fence Panel ""Please Keep Distance"" Gauze type 800 1.76 x 3.41 m, with eyelets, white",,,,,Adam Hall,4049521542695.0,,,,,,,215.0,,,False
0159XBAU1,"Adam Hall Accessories 0159XBAU1 - Fence Panel Gauze Type 800 1.76 x 3.41 m with Eyelets, Black",,,,,Adam Hall,4049521177576.0,,,,,,,86.8,,,False
0159XBAU2,"Adam Hall Accessories 0159XBAU2 - Fence Panel Gauze Type 800 1.76 x 3.41 m with Eyelets, Grey",,,,,Adam Hall,4049521177583.0,,,,,,,86.8,,,False
0159XBAU3,"Adam Hall Accessories 0159XBAU3 - Fence Panel Gauze Type 800 1.76 x 3.41 m, with Eyelets, White",,,,,Adam Hall,4049521177590.0,,,,,,,86.8,,,False
0159XBAU4,"Adam Hall Accessories 0159XBAU4 - Fence Panel Gauze Type 800 1.76 x 3.41 m with Eyelets, Green",,,,,Adam Hall,4049521177606.0,,,,,,,86.8,,,False
0159XBAU5,"Adam Hall Accessories 0159XBAU5 - Fence Panel Gauze Type 800 1.76 x 3.41 m, with Eyelets, Dark Blue",,,,,Adam Hall,4049521177613.0,,,,,,,86.8,,,False
0159XBAU6,"Adam Hall Accessories 0159XBAU6 - Fence Panel Gauze Type 800 1.76 x 3.41 m, with Eyelets, Light Blue",,,,,Adam Hall,4049521177620.0,,,,,,,86.8,,,False
0159XBAU7,"Adam Hall Accessories 0159XBAU7 - Fence Panel Gauze Type 800 1.76 x 3.41 m, with Eyelets, Red",,,,,Adam Hall,4049521177637.0,,,,,,,86.8,,,False
0159XBAU8,"Adam Hall Accessories 0159XBAU8 - Fence Panel Gauze Type 800 1.76 x 3.41 m, with Eyelets, Orange",,,,,Adam Hall,4049521177644.0,,,,,,,86.8,,,False
0159XBAU9,"Adam Hall Accessories 0159XBAU9 - Fence Panel Gauze Type 800 1.76  x 3.41 m, with Eyelets, Yellow",,,,,Adam Hall,4049521177651.0,,,,,,,86.8,,,False
0160B,Adam Hall Accessories 0160B - Acoustic Molton | B1 500 g/m² | 300 cm,,,,,Adam Hall,4049521211287.0,,,,,,,36.19,,,False
0160WH,Adam Hall Accessories 0160WH - Acoustic Molton | B1 500 g/m² | 300 cm,,,,,Adam Hall,4049521211294.0,,,,,,,33.87,,,False
0160X33,Adam Hall Accessories 0160X33 - Acoustic Molton | B1 500 g/m² | 3 x 3 m,,,,,Adam Hall,4049521211300.0,,,,,,,186.57,,,False
0160X33WH,Adam Hall Accessories 0160X33WH - Acoustic Molton | B1 500 g/m² | 3 x 3 m,,,,,Adam Hall,4049521211317.0,,,,,,,163.35,,,False
0160X43,Adam Hall Accessories 0160X43 - Acoustic Molton | B1 500 g/m² | 4 x 3 m,,,,,Adam Hall,4049521211324.0,,,,,,,251.46,,,False
0160X43WH,Adam Hall Accessories 0160X43WH - Acoustic Molton | B1 500 g/m² | 4 x 3 m,,,,,Adam Hall,4049521211331.0,,,,,,,228.68,,,False
0160X53,Adam Hall Accessories 0160X53 - Acoustic Molton | B1 500 g/m² | 5 x 3 m,,,,,Adam Hall,4049521211348.0,,,,,,,316.42,,,False
0160X53WH,Adam Hall Accessories 0160X53WH - Acoustic Molton | B1 500 g/m² | 5 x 3 m,,,,,Adam Hall,4049521211355.0,,,,,,,278.12,,,False
0163T0050B,Adam Hall Accessories 0163T0050B - Truss Cover B1 for 3- and 4-Point Traverses Black 0.5 m,,,,,Adam Hall,4049521213441.0,,,,,,,14.68,,,False
0163T0050WH,Adam Hall Accessories 0163T0050WH - Truss Cover B1 for 3- and 4-Point Traverses White 0.5 m,,,,,Adam Hall,4049521213366.0,,,,,,,13.05,,,False
0163T0100B,Adam Hall Accessories 0163T0100B - Truss Cover B1 for 3- and 4-Point Traverses Black 1 m,,,,,Adam Hall,4049521213458.0,,,,,,,24.47,,,False
0163T0100WH,Adam Hall Accessories 0163T0100WH - Truss Cover B1 for 3- and 4-Point Traverses White 1 m,,,,,Adam Hall,4049521213373.0,,,,,,,22.84,,,False
0163T0150B,Adam Hall Accessories 0163T0150B - Truss Cover B1 for 3- and 4-Point Traverses Black 1.5 m,,,,,Adam Hall,4049521213465.0,,,,,,,32.6,,,False
0163T0150WH,Adam Hall Accessories 0163T0150WH - Truss Cover B1 for 3- and 4-Point Traverses White 1.5 m,,,,,Adam Hall,4049521213380.0,,,,,,,32.6,,,False
0163T0200B,Adam Hall Accessories 0163T0200B - Truss Cover B1 for 3- and 4-Point Traverses Black 2 m,,,,,Adam Hall,4049521213472.0,,,,,,,44.05,,,False
0163T0200WH,Adam Hall Accessories 0163T0200WH - Truss Cover B1 for 3- and 4-Point Traverses White 2 m,,,,,Adam Hall,4049521213397.0,,,,,,,42.42,,,False
0163T0250B,Adam Hall Accessories 0163T0250B - Truss Cover B1 for 3- and 4-Point Traverses Black 2.5 m,,,,,Adam Hall,4049521213489.0,,,,,,,53.84,,,False
0163T0250WH,Adam Hall Accessories 0163T0250WH - Truss Cover B1 for 3- and 4-Point Traverses White 2.5 m,,,,,Adam Hall,4049521213403.0,,,,,,,52.21,,,False
0163T0300B,Adam Hall Accessories 0163T0300B - Truss Cover B1 for 3- and 4-Point Traverses Black 3 m,,,,,Adam Hall,4049521213496.0,,,,,,,63.63,,,False
0163T0300WH,Adam Hall Accessories 0163T0300WH - Truss Cover B1 for 3- and 4-Point Traverses White 3 m,,,,,Adam Hall,4049521213410.0,,,,,,,62.0,,,False
0163T0400B,Adam Hall Accessories 0163T0400B - Truss Cover B1 for 3- and 4-Point Traverses Black 4 m,,,,,Adam Hall,4049521213502.0,,,,,,,84.84,,,False
0163T0400WH,Adam Hall Accessories 0163T0400WH - Truss Cover B1 for 3- and 4-Point Traverses White 4 m,,,,,Adam Hall,4049521213427.0,,,,,,,75.05,,,False
0163T1000B,Adam Hall Accessories 0163T1000B - Truss Cover B1 for 3- and 4-Point Traverses Black 10 m,,,,,Adam Hall,4049521213519.0,,,,,,,199.87,,,False
0163T1000WH,Adam Hall Accessories 0163T1000WH - Truss Cover B1 for 3- and 4-Point Traverses White 10 m,,,,,Adam Hall,4049521213434.0,,,,,,,183.4,,,False
174.0,"Adam Hall Hardware 0174 - Felt, Dark Grey",,,,,Adam Hall,4049521000263.0,,,,,,,17.56,,,False
0174SA,"Adam Hall Hardware 0174SA - Felt, Self-Adhesive, Dark Grey",,,,,Adam Hall,4049521000270.0,,,,,,,32.08,,,False
175.0,"Adam Hall Hardware 0175 - Felt, Black",,,,,Adam Hall,4049521000287.0,,,,,,,17.56,,,False
0175SA,"Adam Hall Hardware 0175SA - Felt Self-Adhesive, Black, 150cm width",,,,,Adam Hall,4049521000294.0,,,,,,,32.1,,,False
