SKU,Short Description,Long Description,Model,Category Group,Category,Manufacturer,Manufacturer SKU,Image URL,Document Name,Document URL,Unit Of Measure,Buy Cost,Trade Price,MSRP GBP,MSRP USD,MSRP EUR,Discontinued
0163T0100WH,Adam Hall Accessories 0163T0100WH - Truss Cover B1 for 3- and 4-Point Traverses White 1 m,,,,,Adam Hall,4049521213373,,,,,,,22.84,,,
0163T0150B,Adam Hall Accessories 0163T0150B - Truss Cover B1 for 3- and 4-Point Traverses Black 1.5 m,,,,,Adam Hall,4049521213465,,,,,,,32.6,,,
0163T0150WH,Adam Hall Accessories 0163T0150WH - Truss Cover B1 for 3- and 4-Point Traverses White 1.5 m,,,,,Adam Hall,4049521213380,,,,,,,32.6,,,
0163T0200B,Adam Hall Accessories 0163T0200B - Truss Cover B1 for 3- and 4-Point Traverses Black 2 m,,,,,Adam Hall,4049521213472,,,,,,,44.05,,,
0163T0200WH,Adam Hall Accessories 0163T0200WH - Truss Cover B1 for 3- and 4-Point Traverses White 2 m,,,,,Adam Hall,4049521213397,,,,,,,42.42,,,
0163T0250B,Adam Hall Accessories 0163T0250B - Truss Cover B1 for 3- and 4-Point Traverses Black 2.5 m,,,,,Adam Hall,4049521213489,,,,,,,53.84,,,
0163T0250WH,Adam Hall Accessories 0163T0250WH - Truss Cover B1 for 3- and 4-Point Traverses White 2.5 m,,,,,Adam Hall,4049521213403,,,,,,,52.21,,,
0163T0300B,Adam Hall Accessories 0163T0300B - Truss Cover B1 for 3- and 4-Point Traverses Black 3 m,,,,,Adam Hall,4049521213496,,,,,,,63.63,,,
0163T0300WH,Adam Hall Accessories 0163T0300WH - Truss Cover B1 for 3- and 4-Point Traverses White 3 m,,,,,Adam Hall,4049521213410,,,,,,,62.0,,,
0163T0400B,Adam Hall Accessories 0163T0400B - Truss Cover B1 for 3- and 4-Point Traverses Black 4 m,,,,,Adam Hall,4049521213502,,,,,,,84.84,,,
0163T0400WH,Adam Hall Accessories 0163T0400WH - Truss Cover B1 for 3- and 4-Point Traverses White 4 m,,,,,Adam Hall,4049521213427,,,,,,,75.05,,,
0163T1000B,Adam Hall Accessories 0163T1000B - Truss Cover B1 for 3- and 4-Point Traverses Black 10 m,,,,,Adam Hall,4049521213519,,,,,,,199.87,,,
0163T1000WH,Adam Hall Accessories 0163T1000WH - Truss Cover B1 for 3- and 4-Point Traverses White 10 m,,,,,Adam Hall,4049521213434,,,,,,,183.4,,,
174,"Adam Hall Hardware 0174 - Felt, Dark Grey",,,,,Adam Hall,4049521000263,,,,,,,17.56,,,
0174SA,"Adam Hall Hardware 0174SA - Felt, Self-Adhesive, Dark Grey",,,,,Adam Hall,4049521000270,,,,,,,32.08,,,
175,"Adam Hall Hardware 0175 - Felt, Black",,,,,Adam Hall,4049521000287,,,,,,,17.56,,,
0175SA,"Adam Hall Hardware 0175SA - Felt Self-Adhesive, Black, 150cm width",,,,,Adam Hall,4049521000294,,,,,,,32.1,,,
177,Adam Hall Hardware 0177 - Carpet Covering self-adhesive black,,,,,Adam Hall,4049521000324,,,,,,,32.22,,,
178,Adam Hall Hardware 0178 - Carpet Covering black,,,,,Adam Hall,4049521167157,,,,,,,12.33,,,
187,Adam Hall Hardware 0187 - PVC Foil black,,,,,Adam Hall,4049521000416,,,,,,,9.03,,,
191,Adam Hall Hardware 0191 - Polyester Foam 25 mm,,,,,Adam Hall,4049521000454,,,,,,,33.6,,,
019305B,Adam Hall Hardware 019305B - Plastazote® (LD29) 2000 x 1200 x 5 mm,,,,,Adam Hall,4049521933776,,,,,,,18.37,,,
019305SA,Adam Hall Hardware 019305SA - Plastazote (LD29) self-adhesive 5 mm,,,,,Adam Hall,4049521070211,,,,,,,36.0,,,
019305SAB,Adam Hall Hardware 019305SAB - Plastazote (LD29) self-adhesive 2000 x 1200 x 5 mm,,,,,Adam Hall,4049521933905,,,,,,,40.99,,,
